Question Type,Question
Interaction,does phosphatidylserine interact with antidepressants and antipsychotics?
Effectiveness,"does the herb ""eyebright"" cure cateracts before they start?"
Usage,"what is a good amount of sesame seeds,flax seeds,and pumpkin seeds to eat at once?"
Interaction,"does having dairy products like milk, yogurt, cheese reduce the effect of calcium pills for bone structures?"
Usage,vitamin b1 - how long does it take to work?
Usage,so how much water should i use for about a pound of dried mangosteen?
Effectiveness,do you believe taking ginseng can improve overall health?
Effectiveness,do msm supplements really make your hair grow or is it just a myth?
Usage,l-glutamine whats an appropriate dosage for ibs?
Usage,how much acai berry should be taken daily?
Indication,what are the benefits of using oil of oregano drops?
Availability,is there a copper supplement pill?
Effectiveness,does l-arginine make you grow taller?
Interaction,"""a multiple vitamin such as centrum amino acid"
Indication,health benefits of silica and fish oil supplements?
Adverse_Effects,does acai berry cause headache?
Safety,is it safe to feed the kids (manuka honey) or not?
Usage,is 1000 iu of vitamin d3 enough or too much for a 5'7 200 pound woman?
Effectiveness,does honey and lemon work for sore throat?
Usage,i drank magnesium citrate laxative about 2 months ago and i was wondering when it was safe to intake it again.
Usage,whats the best way to take valerian root?
Usage,is it safe to take sam-e at night before dinner or should it be taken only during the day ?
Availability,"hi there i live in toronto, scarborough area does anyone know where i can find the supplement choline and dmae around my area or in toronto?"
Effectiveness,does ganoderma mushrooms really work ?
Effectiveness,krill oil-anyone used it and what were the results?
Usage,diatomaceous earth how to use it?
Background,"what exactly is ""modified palm oil""?"
Availability,where can i buy vitamin k cream over the counter?
Indication,could dexamethasone sodium phosphate be used as a muscle gaining steroid?
Indication,can elderberry extract be used even when you're not sick/to keep your immune system boosted/strong?
Background,what exactly is agnus castus?
Indication,should a healthy young person be taking omega fish oil capsules? which contain eicosapentaenoic acid and docosahexaenoic acid.
Effectiveness,does l-tryptophan help you fall and stay asleep at night?
Background,what is passiflora syrup/surup ?
Indication,"hi all, i'm gonna ask about aloe vera, could any body tell me the benefits of aloe vera?"
Availability,"where can i find quercetin supplements in melbourne, aus?"
Availability,where are the places to buy epsom salts or magnesium sulfate in the philippines?
Effectiveness,do silicon paths help to reduce keloids?
Indication,what is grape seed good for?
Availability,is it possible to get intravenous alpha lipoic acid in the uk?
Usage,"""whats a safe but effective dose of vitamin b1 to take each day to combat possible deficiency?thanks in advance for any answers"
Usage,"well i have minor issue with a drooping eyelid which comes and goes - have done some reading up and due to me being a heavy smoker and not always having a great diet i think i could have a vitamin b1 deficency.also this latest time it happened i had just stopped taking multivitamins (with b1 etc) and have been drinking alcohol a little more than normal....i have multivitamins again now but wasn't sure if 1.5mg would be sufficient to improve my condition.... so its safe to take 100mg per day?"""
Usage,"""i have the following"
Safety,is a daily dose of 2 tablespoons of zinc 500 ppm safe?
Effectiveness,does black walnut hulls over the counter medicine really kill parasites if taken internally?
Effectiveness,would mastic gum pills be useful in treating candida ?
Safety,is rue herb safe to use to anticipate labor?
Indication,can i use the product l-dopa to raise dopamine levels.i am a female and was told this supplement is for men.?
Usage,does holy basil work better on a liquid form than a capsule form.?
Adverse_Effects,lately i've been drinking this tea made out of lemongrass and green tea.... but my throat hurts afterwards....? im used to drinking green tea so i know its not that but could it be the lemongrass?
Indication,can lemongrass be used to pass a urine drug test?
Indication,can anyone tell me if there is any other beneficial use for cascara sagrada besides it being a laxative?
Availability,where can arnica montana pills be purchased from?
Indication,"i am a 17 year old, i accidentally bought vitamin b1 (thiamine) instead of b7 (biotin), is it ok for me to continue taking the b1 supplement"
Indication,what is the element sulphur used for in naturopathic medicine?
Interaction,can i take ashwaganda tincture aswell as natracalm passiflora tablets on a daily basis?
Effectiveness,will glucosamine sulfate raise the estrogen level?
Effectiveness,would you say lycopodium and tyrosine could be used for the same reasons?
Background,what is lactobacillus acidophilus?
Interaction,can i mix polyethylene glycol with doxycycline hyclate?
Effectiveness,is boron chelate the same as borax to detoxify the body from fluoride?
Indication,"so does the salmon oil, or the epa "" dha add more omega-3 or something?"
Usage,what is the real recommended dose for omega-3/docosahexaenoic acid/eicosapentaenoic acid?
Availability,where can i purchase activated charcoal for taking into the body?
Adverse_Effects,can kava kava cause liver failure the first time you try it?
Adverse_Effects,what negative side effects does yellow jasmine (gelsemium sempervirens) have?
Usage,"how long should it take for my astragalus, echinechea, eyebright, propilis, and bilberry supplements begin to work once i begin taking them (daily)?"
Interaction,"is it beneficial to combine st. john's wort, valerian root and 5htp to combat anxiety?"
Availability,where can i buy borage and flaxseed oil in singapore ?
Safety,is taking extreme amounts of vitamin c supplements bad for you?
Usage,can i take alfalfa by it self or do i need to take blessed thistle with it?
Adverse_Effects,can apple cider vinegar cause hair loss?
Safety,is argyreia nervosa (hawaiian baby woodrose) safe to consume?
Usage,how long one can take nux vomica 200 for irritable bowel syndrome?
Interaction,will starch peanuts lower the effect that citric acid has on the body?
Interaction,is it safe to take coenzyme q10 and fish oil together?
Effectiveness,does magnesium citrate work for ibs?
Indication,is vitamin d3 (cholecalciferol) fda approved for crohn's ?
Usage,is it possible to take too much apple cider vinegar in one day?
Effectiveness,is there any scientific evidence that cod liver oil really does help joints and evening primrose oil helps hormonal issues or is it all made up?
Usage,how to use maca root?
Availability,where to buy khat in melbourne?
Effectiveness,a few colleagues have advised that i use kelp - would it be useful?
Usage,what is the dosage that i should take sepia 30c to treat constant nausea?
Indication,does anyone know the health benefits to barley grass?
Interaction,is it to take amoxicillion with iron supplements?
Safety,is brewer's yeast safe?
Indication,what do folic acid pills do?
Indication,is sea kelp an appetite suppressant?
Usage,its my first time at taking folic acid should i take a higher dose than 400 mcg ?
Availability,where can u buy castor oil from in the uk?
Availability,where do you buy inositol?
Indication,what is vitamin b12 used for?
Adverse_Effects,what are the side effects of taking gelanized maca?
Interaction,can i take cascara sagrada with metphormin?
Usage,why can't this salvia divinorum be ingested?
Usage,"also, how do i prepare morning glory for ingestion?"
Usage,how to use/ prepare gotu kola for anxiety?
Effectiveness,"do you think ""red yeast rice"" really helps lowering your cholesterol?"
Usage,can you buy raw anti-oxidant polyphenols and put them in liquid?
Availability,where can i buy vitamin b3 in sydney's inner west the cheaper the better?
Safety,"""ok i just bought vitamin c pills and the ingredients scare me, ingredients"
Usage,how much echinacea do i need in a day?
Safety,is it just clove oil that is poisonous to humans or cloves themselves?
Safety,is taking propolis safe?
Interaction,is eating onion and garlic together bad for the bowels?
Effectiveness,why did olive oil not work completely?
Indication,are there any proven benefits to taking shark cartilage?
Safety,are dong quai and damiana dangerous?
Background,what is arnica montana?
Adverse_Effects,has anyone ever heard of flaxseed oil allergy?
Interaction,can you prescribe arnica with metacam?
Effectiveness,do foods rich in vitamin c really lower the potency of adderall in your system?
Adverse_Effects,side effects of sepia homeopathic regime?
Indication,benefits
Adverse_Effects,side effects
Usage,uses
Indication,does flaxseed oil and omega 3 fish oil do the same thing?
Indication,does flaxseed oil and omega 3 fish oil do the same thing?
Availability,where can i buy bentonite clay?
Availability,where can i get selenium tablets in india?
Indication,do onion vapors cleanse your eyes?
Effectiveness,does d-mannose really work for utis?
Usage,how long should i continue treating myself with d-mannose?
Interaction,"is it safe to take vitamin c, grapeseed extract and vitamin d at the same time with glutathione?"
Usage,whats the best way to take 1000mg of niacin(immediate release) for increasing hdl's?
Indication,"will taking two fish oil caps, a multivitamin and a b-vitamin complex tablet every day help you live longer?"
Interaction,can you use bacopa (brahmi) and valerian root (tagara) herbs together?
Effectiveness,for those who have taken biotin did your hair grow longer?
Usage,how much vitamin a is in accutane?
Safety,who can guarantee that whey protein is not bad for our health if is not approved by fda?
Usage,how do you use bentonite clay for consumption?
Safety,if i'm take 5040 biotin is that too much?
Availability,where can i buy ipecac?
Safety,how much wintergreen oil is toxic?
Availability,where can i find water extract propolis?
Indication,can serrapeptase disolve or help with large eye floaters?
Interaction,can i drink alcohol while taking avena sativa?
Usage,"if we are supposed to take 5000 iu of vit d daily, how much calcium and magnesium should we also be consuming with it??"
Usage,what is the best way to combine damiana and passion flower?
Usage,can i simply chew ginseng root?
Background,what is the spice alum?
Safety,"will that 10,000 be toxic if i take the beta carotene?"
Effectiveness,how come bitter orange didn't work for me?
Interaction,"is it safe to take 5tp, vitamin d and rhodiola rosea together?"
Indication,is it true that bacopa monnieri can help me concentrate?
Usage,how do i make white willow bark remedy preparation?
Adverse_Effects,are either olive leaf extract or echinacea herbs irritant to the bowel?
Usage,how do i use passion flower extract?
Usage,can the body absorb hyaluronic acid taken orally (pills or capsules)?
Effectiveness,how much royal jelly do you have to eat for it to be effective?
Usage,how much kanna or kava kava should i take?
Usage,how much ephedrine is usually put in herbal ecstasy ?
Usage,how to use noni juice to clear acne?
Indication,"""milk thistle""...what's it good for?"
Indication,"also if you have a vitreous hemorrhage, can lutein and bilberry or one of them help?"
Effectiveness,so i searched on the internet and found out that parsley tea is good in getting rid of gallstones...is it true?
Effectiveness,is witch hazel a good antiseptic for a cut?
Indication,cranberry juice or colloidal silver for a urinary tract infection?
Usage,how should nux vomica 200 ideally be taken?
Effectiveness,how effective is milk thistle for liver problems?
Indication,"besides smelling nice and having aromatherapy benefits, can patchouli and camphor be used externally (topically) to benefit the hair and skin?"
Adverse_Effects,"when taking melatonin, do you develop a higher tolerance to it after awhile?"
Indication,are there health benefits for a teenager to take niacin?
Indication,are there any health benefits from apple and calendula jelly?
Usage,how many evening primrose oil capsules should i take?
Indication,what do you use fennel for?
Effectiveness,does hoodia work?
Availability,where can you find coenzyme q10 capsules in india?
Adverse_Effects,does evening primrose oil make you feel really nauseated?
Indication,what can i use my newly made borage syrup for?
Availability,where can i buy colostrum capsules in india?
Availability,where can i buy ashwagandha capsules in india?
Usage,would lacing my food with ipecac still make me vomit?
Usage,how long does someone need to take slippery elm for a stomach ulcer?
Usage,probiotics - can you suddenly stop taking them?
Background,what exactly is gelsemium?
Indication,are there benefits to eating raw (not dried or cooked) hemp leafs
Adverse_Effects,can kratom get you high?
Adverse_Effects,what are some of the negatives for using colloidal silver in skin creams?
Usage,what is the malic acid content of apple cider vinegar?
Interaction,does anyone know if you can take ephedrine while taking levothyroxine?
Adverse_Effects,how do i stop weight gain from taking cortisone (cartison)?
Adverse_Effects,will i get high off 20 mg of morphine sulfate?
Indication,can coral calcium really can treat bone spurs ?
Effectiveness,"i have read that coral calcium can help treat bone spurs, anyone know of this has really been tested or might know where i could find out more on what info or and the medical profession if any have anything to say on this matter?"
Interaction,is it ok taking althea pills while taking also vitamin e?
Safety,"is it fine to take st. johns wort, fish oil, "" l-theanine every morning?"
Effectiveness,does bilberry extract actually work?
Usage,what is a safe dosage of magnesium / l-theanine for a teenager?
Interaction,"can 5htp, gaba and sam-e be taken together?"
Interaction,is it ok to take ginkgo + lemon balm?
Effectiveness,what are the benefits of vitamin e cream?
Safety,is ginkgo biloba dangerous?
Usage,"can i take st john's wort three times a day, brahmi once a day, and then valerian root at night?"
Effectiveness,is lecithin 1200mg good for weight management?
Indication,"anyway, any health benefits from black tea (with say jasmine)?"
Indication,is the herb cordyceps powder (cordyceps sinensis) help full in prostate health?
Adverse_Effects,is it true if you eat a gram of morning glory seeds you'll hallucinate like shrooms?
Indication,what are the affects of dong quai?
Availability,does anyone know where i can get black seed oil supplements in dubai?
Availability,does anyone know where i can get black seed oil supplements in dubai?
Interaction,do st. jude work with noni fruit.?
Interaction,can i drink alcohol while taking l-tryptophan?
Availability,is taurine (the ingredient in redbull and other energy drinks) available in a supplement for over the counter?
Adverse_Effects,what happens if i eat a whole packet of silica gel?
Usage,when taking 5-htp what is a normal dosage?
Interaction,"i know that ginkgo biloba is a natural blood thinner, is it safe to take if i'm also taking natural caffeine daily energy vitamins and krill oil pills?"
Interaction,what is cascara sagrada?
Interaction,"can you take holy basil, ashawagandha, curcumin and passion flower together?"
Availability,where can i get some mugwort?
Effectiveness,does bicarbonate soda really minimize sweating?
Indication,can i just go directly and take chlorella or zeolite purported or supposed to cure heavy metal toxicity?
Safety,"if you just get cocaine just pure coca leaves in it nothing else, is it dangerous too?"
Background,can i make yellow turmeric spice as a dietary supplement?
Usage,with what can i dilute tea tree oil to make it have less of an odor?
Usage,how do i use tea tree oil properly?
Indication,what is dandelion root herbal supplement 550 mg use for?
Usage,"are you supposed to take breaks from taking adaptogens like rhodiola and ginseng, maca, etc.?"
Interaction,what would happen if i put lactase pills in soy milk?
Indication,will coconut oil kill strep?
Interaction,"i would also be taking vitamin c pills without any rose hips along with the teas, could that pose any sort of danger to me as well?"
Indication,what is garcinia cambogia good for?
Safety,is yohimbe safe to use?
Safety,"if your body stops producing normal amounts of cortisol, is dhea okay to take."
Background,what is clary sage oil omega 3 ?
Availability,is ephedra tea available in shops or do i have to buy on the internet?
Usage,does green tea extract contain sufficient quercetin?
Usage,"does drinking dieting tea help me in my diet,i know it's not good after every meal but what i mean is after fatty meals or sweets or even before sleeping if i ate right before i sleep.well i found a product of diet tea that contains 50% fennel ,30% chicory and 20 % senna.so are these herbs good for burning fats and sugar,and if i bought each herb separately and mixed them myself will they be better or what shall i do"
Indication,what are the health risks/benefits of palm oil?
Usage,how do you make dong quai tea?
Safety,is stevia safe to consume?
Background,diatomaceous earth - food grade?
Usage,"is there a ""right way"" to take anise seed and other herbs?...?"
Effectiveness,does n-acetyl carnosine dissolve cataracts or is this too a scam?
Effectiveness,"does the ""clove toothache remedy"" really work?"
Indication,what is the benefits of seaweed for the body?
Availability,where can i buy blackberry balsam?
Indication,does the honey cinnamon remedy help arthritis?
Indication,will gaba gama help my nerves for the withdrawls?
Adverse_Effects,holy basil is supposed to be good but has been shown to cause infertility ive heard?
Indication,would l-arginine and l-ornithined be a good resource for a teenager?
Indication,what are the uses for oregano oil?
Interaction,since lycopene is a carotenoid does it cause overdose in vitamin a?
Adverse_Effects,"can you get high from the spices cumin, thyme, or curry powder?"
Availability,where to buy lycopene capsules ?
Effectiveness,is whey protein good for rheumatoid arthritis?
Safety,can oleander be safely used as a sleep aid?
Indication,benefits
Adverse_Effects,side effects
Availability,where to buy
Indication,does anyone know astaxanthin benefits?
Interaction,"now i'm wondering, is it ok to take both the anti-fungal caprylic acid and the probiotic at the same time?"
Adverse_Effects,"also, one final thing- i am going to start taking solaray's borage oil- will there be any negative effects with that?"
Adverse_Effects,is the caffine and guarana in it making me pee?
Indication,can acacia catechu extract help with thyroid problem?
Indication,has anyone used chaste tree berry to help with amenorrhea?
Background,what is polysaccharides and glutathione?
Indication,effects of l- lysine on a 16 year old male?
Effectiveness,is l-glutamine good for anxiety?
Safety,is comfrey oil safe to use?
Adverse_Effects,will taking a glucose supplement increase my insulin?
Usage,what is a good dosage for amanita muscaria?
Indication,can i take 5 htp without taking vitamin b3 or something else to help with absorption?
Interaction,can i take natural vitamin e and lysine together?
Interaction,does anyone know is it safe to take siberian ginseng with sodium valproate?
Effectiveness,does avena sativa mother tincture work?
Indication,does phosphatidylserine lower or regulate cortisol?
Background,what is emu oil?
Effectiveness,do cod liver oil pills only have a placebo effect?
Effectiveness,does chromium really work to treat depression?
Interaction,"vitex raises progesterone levels, would this counteract any estrogenic effects saw palmetto might have?"
Indication,will keeping a lavender plant help me sleep?
Usage,how much horny goat weed do i have to take in order to work?
Indication,does neem leaf juice help decrease uric acid in blood?
Availability,does anybody know where i can get cheap clove oil from in bury st edmunds?
Interaction,does anybody know if any of the following ingredients react negatively with percocet
Adverse_Effects,is there any side effects in drinking neem leaf juice everyday?
Safety,is taking 500mg of niacinamide ( not niacin) safe?
Safety,safe to use
Indication,benefits
Effectiveness,do glycerin tinctures work?
Safety,is stevia safe to consume daily?
Adverse_Effects,when i take phenibut......its like a posion ...i feel deadly sick the next day
Indication,can i take agnus castus if i have a hyperthyroid?
Adverse_Effects,"would this cause someone to be unresponsive during sleep? if one took 500 mg magnesium, 1000 mg calcium, 1000 mg niacinamide, 2400 mg fish oil, 35 mg melatonin, l theanine, and was extremely fatigued?"
Indication,can you take the herb red clover if you suffer from migraines?
Safety,is is safe to use nitric oxide supplement past expiration date?
Indication,what are the medical uses for hawthorn?
Usage,how to take evening primrose oil?
Effectiveness,i knew senna was a laxative but should they be this effective?
Usage,what to do with frankincense?
Indication,will vitex/chaste tree give me periods?
Indication,"what effect on the brain function and memory loss does alpha lipoic acid and acetylcarnitine have, and are there any studies concerning these two supplements?"
Usage,how much coconut water for bladder/kidney problems?
Usage,chia seeds
Interaction,can you take vitamin b5 and vitex together daily?
Background,"i take a hops herbal supplement, what is it?"
Availability,"where can i get mullein leaf (verbascum thapsus) near bethesda, md.?"
Effectiveness,do supplements like serrapeptase and nattokinase work?
Adverse_Effects,is it possible to die from overdose of apple pectin?
Availability,where can i buy goji berries from?
Indication,are there any vitamins i can take to help poison ivy?
Effectiveness,does glucosamine sulfate really thicken cartilage in humans?
Indication,"please,advise me,is serrapeptase emzim will remove cured latent tb lung scar?thanks"
Interaction,is it safe to take evening primrose oil and divaloproex together?
Adverse_Effects,will taking trace minerals effect me if i have fluoride poisoning?
Indication,"i have fibromyalgia, is magnesium malate and malic acid good for this?"
Usage,"i'm wanting to make a rose hip tea, can i simply use them as is?"
Usage,can i use the rose hips straight from my garden?
Availability,where can i buy chicory root supplements?
Indication,is it true poison ivy cures verrucas?
Indication,can lemon verbena help control high blood pressure?
Interaction,my doctor told me not to drink citric acid with vyvanse... does the same thing apply for vitamin c?
Interaction,is it safe to take butcher's broom and horse chestnut supplement at the same time?
Safety,"is ""senna"" harmful to take it for long time for constipation ?"
Indication,does guarana work for energy
Indication,"what would a combination of goldenseal, rose hips and skullcap be a good remedy and/or supplement for?"
Indication,"what would a combination of goldenseal, rose hips and skullcap be a good remedy and/or supplement for?"
Safety,is smoking blue lotus daily safe?
Effectiveness,glycine supplement for anxiety?
Effectiveness,"i started taking horse chestnut today for my blood flow, could this help???"
Safety,is it safe to take 4 25mg doxylamine succinate pills at one time?
Safety,"also is ferrous fumarate (""iron"") safe?"
Interaction,can you take bitter orange and bee pollen together
Background,is vinpocetine a homeopathic drug?
Effectiveness,do gaba calm you without sedating you ?
Usage,can you dilute a glycerin medicine with water?
Effectiveness,sbl's arnica montana oil is really effective?
Safety,is it safe to consume glycerin (a.k.a. glycerol) as part of a supplement stack?
Usage,is there an alternative way to having a bcg vaccination?
Effectiveness,does fo-ti really strengthen the liver/kidneys and reduce gray hair?
Safety,if you consumed a small amount of beeswax everyday would it be bad for you?
Safety,is yerba mate safe to drink when healing lgs (leaky gut syndrome)?
Effectiveness,do holy basil natural capsules work well for anxiety/social anxiety?
Indication,i have some dry hops what can i do with them?
Indication,i have some dry hops what can i do with them?
Background,has pueraria mirifica been approved by fda?
Safety,is alum safe in food?
Interaction,are turmeric and yucca compatible to take together?
Interaction,can you mix ativan with herbs like holy basil and passionflower
Usage,will taking 100-300mg of either kelp or iodine support proper thyroid function.
Background,is is powdered thyme relay just thyme that's ben crushed till is powdered?
Interaction,is taking nattokinase and serrapeptase together ( on same day) dangerous?
Availability,where can i get maypop / passiflora incarnata / passionflower ?
Usage,how long can you take horsetail extract for?
Indication,what is the chemical use of propylene glycol in ointment?
Usage,how many milligrams of yucca for osteoarthritis.?
Effectiveness,i just drank some tea infused with panax ginseng right now should it help?
Usage,"natural arthritis remedy - what proportions should acv, boron, glucosamine sulfate and fulvic acid be used?"
Background,what is culturelle lactobacillus?
Indication,"do herbs such as tongkat ali, horny goat weed, herbs that help with virility, testosterone, have benefits in the long run?"
Adverse_Effects,repost
Usage,"hi guys, i ordered silicea 30c 100 tablets online for my 1 year keloid scars. how many tablets should i take and how many times a day?"
Background,is dextrose gluten free?
Availability,where can i buy wintergreen oil?
Safety,is hoodia gordonii safe to take?
Safety,is sucralose ok in moderation?
Usage,how many drops of sweet marjoram essential oil to 15 ml of jojoba oil?
Effectiveness,can humans use turpentine to get rid of pinworms or roundworms?
Usage,i did some research and found this herb called uva ursi that i bought today and i was just wondering how long before i start feeling relief?
Safety,can i use marjoram essential oil safely in a herbal tea?
Safety,if you take doxylamine succinate everyday will it do any damage to you?
Effectiveness,how long do 350mg of silymarin marianum stay in your system?
Effectiveness,is aloe vera juice good for high blood pressure?
Availability,where can i buy granular iodine and potassium iodide in the philippines?
Availability,where is the avaiblity of i/v edta in india
Indication,what is the bcg vaccination for ?
Usage,how often should i drink burdock root?
Usage,"i got dl-phenylalanine today cause i read its good for chronic pain,ive read that you can take up to 1500mg a day but on my tub of 500mg it says take one a day and dont take more than stated dose im a bit confused,what or how much can you take of dl-phenylalanine can you take a day????"
Adverse_Effects,i smoked some amanita muscaria legal mushrooms about 6 months ago anyway i didn't enjoy the experience never touching the things again :)... just recently i happened to come across some information on the fly agarics that said the toxins in them kill liver and kidney cells and can result in liver or kidney damage is this fully correct?
Interaction,are there any known interactions with california poppy and birth control?
Usage,"how do i use jojoba oil to treat acne(amount, application, etc)?"
Indication,does anyone knows please if oleander is really a good poison?
Interaction,what are the dangers of mixing codeine phosphate with diphenhydramine and alcohol?
Effectiveness,is coconut oil helpful for someone in moderate stage alzheimers?
Effectiveness,how long do the effects of inhaling clary sage essential oil last?
Indication,what is oolong tea for ?
Interaction,i just had some pie last night and today that had thiamine in it... is it safe to take the st john's wort now?
Interaction,can i take ashwagandha churna and shilajit sat together?
Effectiveness,do acid phos 30 and lycopodium 30 homeopathy medicine for premature greying work ?
Availability,where can i buy glycerol suppositories or enemas i to cure my constipation.
Interaction,can you take both ginkgo biloba and cordyceps?
Usage,how long does it take for sorbitol to work as a laxative?
Usage,if i use normally 12 g bcaa for training days and just 4g non workout days? when should i take a bcaa supplement?
Indication,what is the benefits of centrum with lutein.taking as asupplement diet after 50 what it gives benefit to health
Interaction,is it safe to take pau d'arco tea and garlic pills together?
Background,what is shark cartilage
Usage,black cohosh
Availability,where to buy n f cure capsules and shilajit in chennai?
Adverse_Effects,is the brahmi-gotu kola causing me head pain?
Interaction,can black cohosh interfere with prescription muscle relaxers?
Safety,are raspberry ketone pills safe for teenagers?
Availability,where can i buy acidophilus capsules?
Effectiveness,i am just wondering if epa or dha (omega 3 fatty acids) are more important for fighting anxiety.
Usage,and will the black cohosh start working soon?
Safety,is hyaluronic acid supplement safe for children with juvenile ra (rheumatoid arthritis)?
Interaction,could mixing reishi mushroom and rhodiola be harmful?
Adverse_Effects,what are the side effects of jiaogulan?
Background,what is
Indication,what are its benefits
Background,does anise (herb) contain water?
Availability,how can i get graviola fruit or tree in kolkata?
Indication,what is graviola supplements used for?
Availability,is there a drinkable vitamin b supplement containing a lot of vitamin b-2 (riboflavin)?
Adverse_Effects,the other ingredients in the product are
Indication,what are the benefits of black sesame seeds ...?
Background,do you know what magnesium stearate is?
Usage,how long can i take b12 methylcobalamin 2000 mcg daily?
Safety,"is ""silver"" a safe ingredient?"
Interaction,2-what happen if we mix bicarbonate with vinegar?
Interaction,is it safe to take vinpocetine 10mg with garlic 500mg everyday?
Usage,"in 100ml of almond oil, what concentration of boswellia sereta essential oil is effective for pain conditions?"
Effectiveness,will seaweed act as a laxative?
Adverse_Effects,is it possible to experience lactic acidosis only after one 500 mg pull of metformin?
Background,how many seeds of hawaiian baby woodrose seeds equal 1 kilo?
Usage,"im mixing kratom, california poppy and wild luttuce into a tea for anxiety and stress? how much of each should i use as in one dose?"
Interaction,"can you take amoxicillon, cordyceps, elderberry, zinc, calcium, and mushroom complex together?"
Interaction,will ginseng and guarana counteract with a magnesium supplement?
Adverse_Effects,does deer velvet have any side effects?
Usage,how can i use eucalyptus essential oil?
Availability,san jose ca where can i buy rue?
Effectiveness,does hibiscus tea/supplements really lower blood pressure?
Interaction,"i'd like to add taking cascara sagrada, green coffee bean extract, biotin, and dulcolax laxative table, would that be safe?"
Interaction,"i'd like to add taking cascara sagrada, green coffee bean extract, biotin, and dulcolax laxative table, would that be safe?"
Interaction,can i take whey protein while on prednisone?
Indication,im questioning the kefir grains if it even does anything?
Adverse_Effects,what are the side effects for panax ginseng?
Indication,i bought some herbal sleeping tablets they contain valerian hops and passionflower are they any good ?
Background,"what is coltsfoot, tussilago farfara?"
Effectiveness,is the advanced edta mega plus a good pill for heart stints?
Availability,"anyways, i was wondering where do i buy legit saffron capsules??"
Interaction,is it safe to take garcinia cambogia extract while on anxiety meds?
Background,"is the phosphorus used in bone elemental or is it in the form of, say, phosphate?"
Interaction,what happens when you mix lithium carbonate and adderall?
Indication,anyone know about reishi mushrooms being used in treatments?
Interaction,"""but was wondering if it's okay to use my homeopathic remedy drops lycopodium( use daily for headaches,stress and bit of anxiety) with the antibiotics too?"""
Interaction,"is it safe to combine l-dopa, l-arginine, and l-ornithine together?"
Interaction,so is it actually safe to consume a ns with talc?
Effectiveness,do vitamin b6 and calea zacatechichi actually work to induce lucid/vivid dreams?
Adverse_Effects,do omega-3 fatty acids really increase the risk of prostate cancer?
Availability,where to buy nitric oxide body supplement?
