Question Type,Question
Background,what are some facts about raspberry ketones?
Safety,is it safe to smoke pau d'arco bark
Indication,does green coffee have any benefits over green tea?
Usage,how much apple cider vinegar can a 16-year-old drink?
Usage,can i take more dosages a day of magnesium citrate?
Effectiveness,does drinking/gargling apple cider vinegar help prevent a cold?
Effectiveness,how well does ginkgo biloba help with tinnitus?
Indication,what are the benefits of drinking apple cider vinegar?
Adverse_Effects,are there any negative effects to drinking too much apple cider vinegar?
Effectiveness,how effective is evening primrose oil in treating ocd?
Background,what is otc or vitamin d pills?
Adverse_Effects,does anyone know of any bad side effects to taking ginkgo biloba?
Effectiveness,does it work(burdock root)?
Safety,are magnesium shots safe?
Indication,"can the clear apple cider vinegar, still have the health benefits attributed to the raw apple cider vinegar?"
Interaction,is it ok to take a magnesium supplement and drink tea at the same time...?
Interaction,does honey affect the benefits of hot lemon water?
Adverse_Effects,does horny goat weed cause acne?
Indication,does great value apple cider vinegar offer the same benefits as organic apple cider vinegar?
Safety,is it safe to use organic apple cider vinegar to lower your blood pressure?
Effectiveness,can drinking wheatgrass boost oxygen or hemoglobin?
Indication,are there any other benifits a young lady can get from taking saw palmetto?
Adverse_Effects,do you get nausea with magnesium citrate?
Usage,"i remember hearing that honey can be used to stop a cough, but how would i take it?"
Usage,how much elderberry concentrate can you drink at one time.
Usage,how much biotin is safe to take per day?
Availability,where can i find burdock root supplements in mumbai?
Effectiveness,i've heard seasonal colon cleansing is healthy - can you use magnesium citrate to do it?
Availability,where to buy arnica montana pills?
Interaction,can i take alfalfa with spirulina
Usage,what dosage
Effectiveness,do biotin pills help make your skin better?
Availability,where can i find wheatgrass shots?
Adverse_Effects,does green tea really interfere with iron and folic acid absorption?
Safety,can wheatgrass be dangerous?
Adverse_Effects,does the evening primrose have any serious side effects?
Indication,"benefits of apple cider vinegar "" honey?"
Adverse_Effects,are there any side effects to olive leaf extract?
Usage,what is the best time of day to take vitamin d supplement.?
Indication,is evening primrose oil good for men too?
Indication,does flaxseed oil and omega 3 fish oil do the same thing?
Indication,what are the benefits of taking evening primrose oil capsules?
Usage,how many milligrams of magnesium should i take to help with 2 pulled muscles?
Indication,i also have a few other questions what is magnesium good for?
Interaction,can i take noni juice while taking aloe vira juice?
Background,what is arnica montana?
Adverse_Effects,does evening primrose oil cause dizziness?
Indication,what is vitamin d good for?
Usage,can i take three gingko/ginkgo pills at once?
Interaction,is it safe to take magnesium supplements with atenolol?
Indication,why should people who live in the north take supplemental calcium vitamin d?
Background,what is goji berry
Availability,is it available in india
Safety,is it bad to take large doses of vitamin d?
Interaction,can i mix gooseberry and wheatgrass juice and have them?
Indication,"benefits of wheatgrass, probiotic and aloe vera?"
Effectiveness,flaxseed oil pills...do they help weight loss?
Indication,what is the benefit of honey in our health?
Interaction,"i'm already taking magnesium and vitamin d pills, would lt be harmful to take gelatin pills with these pills?"
Effectiveness,is a colonic or magnesium citrate more effective?
Usage,can you take ginkgo in winter only or should it be all year round?
Safety,is arnica cream safe for kids?
Effectiveness,is goji juice good for hepatitis?
Availability,where can i buy folic acid capsules in india?
Indication,what does taken a teaspoon of honey do for you?
Interaction,"would there be any adverse affects mixing ginseng, ginkgo biloba, and kratom in a tea brew?"
Background,what is goji berries?
Usage,how much vitamin d is needed for health?
Usage,how many goji berries do i need to eat to see any result?
Indication,what are the health benefits of apple cider vinegar
Effectiveness,is nectar ease honey(manuka honey with bee venom) good for arthritis pain for my parents?
Background,the heck is a creamed honey?
Effectiveness,does apple cider vinegar clear your skin?
Background,what is wheatgrass powder?
Indication,what is wheatgrass supposed to be good for?
Interaction,is it okay to take ginkgo and lemon balm at the same time?
Usage,how do you use honey to cure sore throat?
Effectiveness,is vitamin e just as effective for cancer prevention as vitamin d?
Interaction,can i take my blood pressure medicine dyazide with apple cider vinegar
Effectiveness,does sodium sulfate work as a diuretic?
Effectiveness,is it true that apple cider vinegar lowers cholesterol?
Effectiveness,can folic acid 5mg pills help increase my iron level ?
Interaction,"is it ok to take vitamin d "" fish oil at the same time?"
Effectiveness,does apple cider vinegar really helps cure swelling?
Safety,is it bad for you if you consume to much honey and black pepper?
Effectiveness,does horny goat weed make your muscles bigger?
Usage,what is a safe dose of ginkgo biloba to give children?
Interaction,is apple cider vinegar any less beneficial if it is mixed with fruit juice?
Effectiveness,tea with honey and cinnamon can help cure a cold but can it also help prevent you from getting one?
Interaction,can apple cider vinegar be taken with glucosimine?
Effectiveness,does magnesium citrate help with sleep?
Availability,where can i buy sodium ascorbate in canada?
Availability,"where can i buy apple cider vinegar in ottawa, canada?"
Usage,correct calcium/magnesium/vitamin d3 ratio?
Effectiveness,does wheatgrass/barleygrass juice powders help heal esophagitis?
Safety,is grapefruit seed extract and/or elderberry safe during pregnancy?
Effectiveness,is heinz apple cider vinegar good for acne?
Usage,how long does it take for magnesium citrate to work?
Indication,benefits of apple cider vinegar ?
Availability,where can i find mullein tea?
Usage,how much wheatgrass juice should i intake?
Usage,are vitamin e pill effective without the capsules?
Background,what is it
Availability,where can it be found
Interaction,is it safe to take ginkgo and vitamin c together?
Interaction,does anyone know is it safe to take siberian ginseng with sodium valproate?
Background,what is apple cider vinegar
Availability,where can i buy some here in philippines
Effectiveness,does 'honey' cure indigestion problems?
Availability,where can i buy vitamin e oil here in the philippines?
Effectiveness,"if you take ginkgo biloba, do you find it really sharpens your memory ?"
Interaction,is it okay if i take magnesium pills a few hours before i take mdma?
Safety,is it safe to drink apple cider vinegar?
Usage,how much horny goat weed do i have to take in order to work?
Effectiveness,can apple cider vinegar help eczema?
Interaction,is it safe to take a multivitamin and vitamin e in one day?
Indication,what will i benefit from iron tablets?
Indication,what's the use of vitamin e..?
Safety,is it safe to take magnesium on its own?
Usage,are there any health impacts on having more than the rda of iron?
Adverse_Effects,can iron pills make you pee alot?
Effectiveness,"for sunburn remedy, which is better, aloe vera or apple cider vinegar?"
Availability,where can i buy apple cider vinegar ?
Background,what is magnesium
Indication,what do evening primrose pills do?
Interaction,is it ok to take vitamin / iron supplements whilst on the pill?
Adverse_Effects,can escessive iron cause constipation?
Usage,how much iron is too much to consume at once?
Usage,how do i intake magnesium?
Usage,i was prescribed diclofenac sodium...is it safe to take 2 for first oral dosage?
Interaction,"will ""tap water"" hamper the effect's of organic apple cider vinegar?"
Effectiveness,"i am interested will vinegar, or sodium bicarbonate help with my flea bites?"
Safety,is l-tyrosine safe for young adult?
Usage,can you take iron supplements by needle?
Interaction,"is it safe to take st john's wort, evening primrose oil and iron supplements?"
Indication,what are the benefits of taking a magnesium supplement?
Interaction,can you take lactobacillus acidophilus w/ bifidus together with folic acid?
Effectiveness,does magnesium improve restless legs?
Usage,when do iron pills kick in?
Usage,how can i take my wheatgrass powder?
Effectiveness,is vitamin e the answer for eczma on hands?
Availability,where can i find magnesium?
Effectiveness,could coconut oil really cure learning impairments?
Indication,what are the benefits of coconut for the human body?
Usage,i'm taking folic acid pills right now to make my hair grow long faster when will i notice results?
Indication,what is pure aloe vera juice good for?
Interaction,is it safe to take 5-htp and l-tyrosine together?
Indication,what happens if you take 10 naproxen sodium 550mg pills?
Interaction,can i eat chocolate with my iron supplements?
Usage,how much apple cider vinegar is safe to take every day?
Effectiveness,does apple cider vinegar increase your stomach acid?
Usage,how much wheatgrass juice is required to drink everyday ?
Effectiveness,does source naturals magnesium malate help anxiety?
Indication,"what is ""natural alfalfa"" used for"
Adverse_Effects,can apple cider vinegar make you sick?
Usage,how much magnesium mg would i have to take to relax my muscles?
Interaction,can i take folic acid and saw palmetto together?
Interaction,is it safe to take 3000 mg of sodium ascorbate a day plus 400 iu of vitamin e?
Safety,how long is it safe to take magnesium supplement pills?
Adverse_Effects,side effects of oregano oil?
Adverse_Effects,side effects of oregano oil?
Indication,what would happen if i took 3 iron tablets at once?
Interaction,is it safe for me to mix vyvanse with horny goat weed?
Effectiveness,do iron (pills) help reduce inflammation?
Availability,where can i get pure coconut oil?
Effectiveness,does arnica help to cure alopecia?
Interaction,can i take these iron supplements with this prescription?
Interaction,"is it safe to take biotin, folic acid and regular multivitamins all in the same day, everyday?"
Interaction,should i be taking a combination of iron and folic acid?
Availability,where can i buy goji juice except online?
Interaction,is it alright to take both pravastatin and magnesium chloride?
Interaction,"can i consume alcohol while taking my iron tablet, ferrous sulfate?"
Usage,can i take my iron pills before bed?
Adverse_Effects,side effects from taking iron tablets?
Effectiveness,"does magnesium citrate help your bones, muscles, and nerve endings?"
Effectiveness,magnesium and zinc pills would they help boost my testosterone levels if taken properly?
Interaction,can i drink wheatgrass while on doxycycline?
Effectiveness,is magnesium good for constipation?
Effectiveness,does goji juice work
Adverse_Effects,do magnesium pills make you really tired/sleepy?
Interaction,"whatll happen when i mix cranberry, green tea and magnesium pills?"
Indication,what are the effects of mugwort tea
Usage,how do i brew it
Usage,what is the dosage
Interaction,can you take iron pills with water?
Interaction,"can i take sea kelp tablets and calcium "" magnesium tablets together?"
Usage,how do you use magnesium for sleep?
Safety,is it safe for a 13 year old to take folic acid supplements!?
Background,what is the indian name of saw palmetto ?
Effectiveness,does evening primrose oil help with blushing?
Adverse_Effects,is there any side effect of nehar capsul(saw palmetto) ?
Interaction,can i mix horny goat weed with alcohol?
Adverse_Effects,are there saw palmetto topical solution side effects?
Effectiveness,will black elderberry extract boost my immune system after a heavy bout of the flu?
Interaction,im currently on antibiotics will me taking elderberry affect my antibiotics?
Usage,how much is too much folic acid?
Interaction,can i take biotin and folic acid pills at the same time?
Availability,also where can i buy slippery elm?
Effectiveness,do raspberry ketones really work?
Indication,are there benefits to raspberry ketones..?
Effectiveness,if i start taking iron supplements again would it help my eyebrows?
Interaction,can you take adderall and green coffee bean together?
Usage,is 1000mg magnesium citrate too much for me?
Usage,should you drink lots of water with biotin?
Adverse_Effects,what are the side affects of biotin pills if there are any?
Interaction,"can i take fishoil, biotin, and iron pills together?"
Interaction,can i safely take a multi gummy vitamin with a dose of biotin and a dose of magnesium?
Indication,what are the benifits of biotin?
Interaction,will i be okay if i take the biotin and iron every other day?
Interaction,can i take vitamin b complex with l-tyrosine supplements at the same time?
Interaction,can you take beta blocker and slippery elm?
Interaction,should i take folic acid and biotin together?
Interaction,is it safe to take dmae with acetyl-l-carnitine?
Effectiveness,please tell me which is better medicine for memory -:centella asiatica (gotu kola) and bacopa monnieri(brahmi)?
Interaction,l-lysine supplement safe to take with alcohol?
Availability,where to buy natural raspberry ketone?
Effectiveness,do cla supplements and drinking oolong tea really help make you lean?
Effectiveness,do raspberry ketones really work?
Interaction,can i take sulfur for my acne and phosphorus for my hair together like after a gap of 1or2hours?
Effectiveness,can uva ursi be taken to help with urine infections?
Safety,is it safe to give grape seed extract to children?
Effectiveness,"diagnosed w/ scolisosis.today used lotion that has bee venom,potentilla,comfrey,camphor,eucalyptus.any good?"
Interaction,can i take green tea or green coffee bean extract while taking epilepsy medication?
Usage,how is one to consume or use this salt for maximum effectiveness?
Usage,"""bcaa dynamitze nutrition and this last one is green tea or something like that l-carnitine 3000 plus thats all of the pills i think are good because i did some research but not all of them so can you guys help me out please and tell me what to take and how to take?"""
Adverse_Effects,will hawthorn lower blood pressure too much?
Interaction,what will happen if i take green tea diet pills and raspberry ketones together?
Effectiveness,effective
Safety,safe
Safety,is green coffee bean extract safe for minors?
Interaction,are grape seed supplements safe to take with adderall?
Usage,how much saw palmetto do i need to take to stop dht?
Usage,what is the dosage of arnica 200c?
Effectiveness,do you use zinc oxide for acne?
Safety,i'm wondering how bad it is for the body to receive that much aluminum?
Adverse_Effects,side effect of he shou wu or fo-ti?
Indication,why take alpha liopic acid and l-carnitine?
Adverse_Effects,l-glutamine is making me sick
Adverse_Effects,Ginseng and Ginkgo Biloba affects. Circulation problems?
Usage,Is Valerian and melatonin safe to take every day?
Effectiveness,Cranberry/blueberry-good for uti?
Usage,how long will you need to drink aloe juice before you observe its benefits?
Effectiveness,Can Cabbage Water cure you if your feeling sick or is it an old wives tale.?
Effectiveness,can honey and cinnamon lower cholesterol or triglycerides?
Availability,Where can I purchase Maca Root from?
Usage,Do I need to dilute palmarosa oil to dab on spots?
Effectiveness,Will Ginkgo Biloba work for me?
Indication,What are the benefits of drinking apple cider vinegar?
Background,What is the tamil name for noni juice?
Effectiveness,Does L-Arginine make you grow taller?
Effectiveness,does horny goat weed work?
Usage,i took kratom and felt nothing did i do it wrong?
Indication,what will happen to you smoke ginseng?
Indication,oil of oregano? what does it do?
Effectiveness,Does one drink of organic apple cider vinegar and water keep you alkaline all day?
Effectiveness,Do acai berries really work?
Adverse_Effects,Is it bad to drink a lot of green tea?
Indication,what is cod liver oil good for?
Effectiveness,Can I use almond oil as a carrier for rosemary oil?
Interaction,What can I drink apple cider vinegar with?
Effectiveness,"Could Valerian be helpful for older people with shaky hands, as it relaxes muscles? Other suggestions?"
Usage,How many mgs is high potency st johns wort?
Adverse_Effects,"I'm taking a vitamin B12 supplement of 1,000 mcg's per day, anyone have any side effects?"
Adverse_Effects,does acai berry cause headache?
Usage,How much acai berry should be taken daily?
Indication,what happens if I put peppermint extract on my skin?
Indication,what is the uses and benifit of sage?
Interaction,Sea kelp + levothyroxine together...?
Effectiveness,does caffeine work as anti depressent...?
Indication,Does Palm Oil have the same nutritional benefits as coconut oil?
Effectiveness,Is it ok to use saw palmetto for baldness purposes then an enlarged prostate?
Effectiveness,Do msm supplements really make your hair grow or is it just a myth?
Background,What is Tru Noni juice?
Effectiveness,Does garlic help a sore throat?
Safety,Is it true that continuous use of coconut or coconut oil for food is harmful?
Background,What's Horny Goat Weed?
Effectiveness,Have you ever taken Horny Goat Weed? Does it work?
Background,the Indian word of
Availability,where it is available
Adverse_Effects,Gargling with salt water side effect?
Effectiveness,Does boiled ginger and coke work for being sick?
Effectiveness,Are dried cranberries as effective as cranberry juice in treating UTIs?
Effectiveness,i bought Ginko Biloba 500mg supplement pills. do they really increase memory and healthy circulation?
Indication,"ok in a nut shell, what are the benefits of gree tea?"
Effectiveness,dose coffee really make make you more hiper ?
Effectiveness,Do you believe taking ginseng can improve overall health?
Background,what is (shiling oil)...?
Indication,WHAT ARE THE BENEFITS OF CILANTRO AND PHOSHYRUS?
Safety,Is Acai Pure/Berry trustworthy to use?
Availability,Where can I buy GOJI BERRY JUICE in Dubai?
Availability,Where can I buy Salvia?
Availability,"Where can I get cranberry juice in Kolkata, India?"
Background,What is Acai Berrry ?
Availability,Where can I buy Echinacea tea?
Interaction,Can I take black elderberry syrup while on Coumadin?
Effectiveness,will cranberry juice help gout?
Availability,where can i find tea tree oil?
Effectiveness,do acai berries really work?
Background,does green tea have caffeine?
Usage,how long does iron medicine take to make you better?
Adverse_Effects,Does anyone know of any bad side effects to taking Ginkgo Biloba?
Availability,Where can I purchase vibactra plus and collodial silver?
Availability,where can i get cranberry pills?
Interaction,Can you take Maca and Biotin at the same time?
Effectiveness,Can CRANBERRY JUICE cure URINARY TRACT INFECTIONS?
Indication,"I've recently noticed a lot of Aloe Vera juices in the market, what's the advantage of drinking it?"
Effectiveness,How well does ginkgo biloba help with tinnitus?
Effectiveness,Does St. Johns Wort work?
Effectiveness,Does it work(Burdock Root)?
Effectiveness,Does yellow mustard act as an emetic as well?
Availability,where can you buy ACAI BERRY in canada?
Usage,How to use dried mangosteen?
Usage,how many pills of vlaerian root can i take ?
Effectiveness,"I have the flu,and I'm wondering if green tea will relieve the fever and body aches.?"
Availability,Does anyone know where you can buy pure coconut oil for your skin?
Effectiveness,Are prunes good for constipation?
Background,what is otc or vitamin d pills?
Usage,Can I take Echinacea everyday
Background,what is Ecsphoria
Usage,at which time of the day i should take garlic?
Usage,How can I get the most from green tea?
Availability,where can i buy caffeine pills?
Effectiveness,Will arginine pills help boost my height and help me grow taller than i would be if i had not taken it. im 13?
Background,ingredients of chamomilla 30c?
Effectiveness,what are acai berry benificial for men?
Usage,How should a pill or hit of pure MDMA weigh out to?
Usage,How much Vicodin is safe?
Interaction,What should I add with Apple Cider Vinegar to improve its ability to cure/treat/lessen the hair problems?
Availability,Where can I find unsweetened ginger?
Availability,Where can i buy a high concentrated colloidal silver?
Adverse_Effects,Are there any side effects for Xenical ?
Effectiveness,Apple cider Vinegar is good for your health and skin?
Usage,Is it dangerous to take too much St. Johns Wort?
Availability,Where can you buy nat mur 30c?
Adverse_Effects,Does Lavender essential oil cause a seizure?
Effectiveness,Is lavender oil good for people with seizures?
Usage,Black Cohosh - Whats the Average Dosage?
Availability,Where can I buy Tamanu Butter in Australia?
Indication,What does Folinic Acid do for you? Thanks?
Background,What is Smash? What is Smash?
Effectiveness,Does Acai Berry work?
Safety,Is it safe for teenagers to take siberian ginseng?
Interaction,What *All* Does the Acai Berry do for me?
Effectiveness,Vitamin B1 - how long does it take to work
Effectiveness,"Acai berry, does it work? I see it everywhere is it a fad or for real?"
Interaction,"Can I take oil of oregano along with my pills that I am taking,warfrin,pravastatin alo purinol apo triazide?"
Usage,How long does it take for your body to absorb vitamin C?
Usage,How much vitamin C should I take for H1N1?
Interaction,"Can you take Gingko Biloba, B- Complex, and Zinc all at the same time?"
Background,what is zink
Usage,how do you eat it?
Usage,Have I consumed too much ginkgo biloba? What is the required dosage?
Usage,what is a good dosage for vitamin b-6 (energy and metabolism) a day?
Interaction,Can I take zinc supplements and tylenol cold at the same time?
Effectiveness,Does aloe vera really help to reduce sun spots?
Availability,where in kalamazoo MI can i buy salvia divinorum?
Indication,What are the benefits of colloidal silver?
Safety,Are magnesium shots safe?
Effectiveness,Does St. John's Wort work?
Background,what is kava kava
Indication,what is it used for?
Effectiveness,Does Niacin actually work?
Interaction,Is Kratom good mixed with Percocet?
Adverse_Effects,Cold Lemon Juice with Ice can cause constipation ?
Availability,Where can I buy acidophilus pills ?
Indication,what are the benefits of drinking green tea?
Usage,Is it good to drink Green Chili Pepper juice everyday morning?
Availability,Where can I buy Moringa Oleifera?
Background,what is blackjeera oil?
Usage,How else can I use Pure Tea Tree Oil?
Background,What is Black Cohosh?
Usage,Are all types of aloe vera safe to eat?
Availability,where can i buy quality korean red ginseng?
Interaction,Im taking Prilosec OTC in the morning and want to know if I can take Apple Cider Vinegar while taking Prilosec?
Usage,Omega-3 Fish Oil Dosage?
Usage,Does too much vitamin c hurt you?
Safety,Taking Natural Vitamin E 800 UI / Day is Safe?
Interaction,is it ok take vitamin c and d together?
Effectiveness,Is Kombucha tea good for you?
Usage,"Should Ginseng be taken daily, to gain full effects, or just enjoyed in tea occasionally in tea?"
Interaction,"Is it ok to take antiparasitic drugs, antifungal drugs, and probiotics at the same time?"
Availability,"hi,ah mm.....where can i buy rose hip oil here in cebu?"
Effectiveness,Can i take vitamin B12 to increase my energy? I feel tired all the time.?
Effectiveness,is red coral helpful in diabetes?
Interaction,Green tea with or without caffeine
Effectiveness,does salvia the drug work?
Effectiveness,does valerian help your insomnia?
Availability,Where can i buy vitamin k cream over the counter?
Availability,Where can i purchase prune juice in Bangalore. What is the cost of it?
Effectiveness,Is it true that cinnamon can be used as a digestive aid? And what about peppermint?
Interaction,Can I take Echinacea while on an immunosuppressant?
Effectiveness,does biotin for hair work?
Availability,where can i get Methylsulfonylmethane (MSM) supplements
Interaction,Does honey affect the benefits of hot lemon water?
Availability,where can i find hair gelatin pills ?
Usage,How long does it take prune juice to work?
Effectiveness,Can you use acidophilus for an ear infection?
Effectiveness,Is zinc good for a common cold?
Interaction,Is it safe to put St. John's Wort and Ginkgo Biloba in tea?
Interaction,Is it safe to take Kratom with Diverticulitis?
Safety,Is Glucosamine harmful.?
Indication,benefits of taking acai pills?
Availability,Where can I get Prime rose oil for women pills in Brussels?
Availability,Where can I buy acai berry?
Availability,does walgreens sell syrup of ipecac?
Availability,Where to buy fresh/dried Pelargonium radula leaves or extract?
Effectiveness,Do ginger tablets work for PLAIN REGULAR nausea?
Indication,Why is carrot juice good?
Background,What is glucosamine
Indication,what is it used for?
Effectiveness,dose cider vinegar help acne?
Availability,Where can you buy Kratom ( Mitragyna Speciosa ) in Grand Junction Colorado ?
Effectiveness,Does Ginseng Work? Does it really provide noticeable health benefits?
Adverse_Effects,Does apple cider erode esophagus wall?
Usage,How much Kefir should I start with?
Adverse_Effects,is there a risk taking Doxicycline (anti Malaria) and the use of temporary monoamine oxidase inhibitors (MAO?
Effectiveness,Does the herb Ginseng calm nerves?
Interaction,is it ok to drink alcohol while taking vitamin A?
Availability,anaphrodisiac herbs (where can I get some?)?
Effectiveness,How potent is Jack Herer?
Usage,Will swallowing Vyvanse powder without the capsule still work?
Interaction,can xanax and cerefolinNAC be taken together?
Indication,What are the brain specific benefits of CoQ10?
Interaction,Can I mix Tylenol and Neurobion together?
Adverse_Effects,can acidophilus powder kill people or make people sick?
Usage,Can I take more dosages a day of Magnesium Citrate?
Availability,is hesh amla powder available in india?
Interaction,and combined?
Effectiveness,Does tomato juice help to lower high blood pressure?
Background,what is olivera or olivera juice?
Availability,where can i purchase flax seed oil?
Usage,HOW MANY LYSINE PILLS SHOULD I TAKE?
Effectiveness,Is cranberry-grape juice good for you?
Indication,What is Zinc used for?
Indication,Benefits of Tea Tree Oil?
Indication,what is vitamin b6 good for?
Effectiveness,"are brain supplements like ginkgo, acetyl-l-carnitine, and PS effective in treating ADD?"
Interaction,"Will a vinegar , olive oil and tea tree oil treatment work on lice?"
Effectiveness,Can we use Apple Cider Vinegar on dry skin to remove pigmentation?
Effectiveness,does enzyte really work?
Adverse_Effects,can holy basil effect your mood negatively?
Usage,How do I take cod liver oil softgels?
Effectiveness,is it true that garlic can treat hemorrhoids?
Interaction,Is it safe to take Echinacea with Ciprofloxacin ?
Interaction,if you are on thyroxine
Safety,Is biotin safe to take for teens?
Effectiveness,is nettle tea good for calming the nerves?
Indication,What is Vitamin B12 needed for?
Interaction,Does grapefruit juice potentiate xanax?
Background,what is Ginseng 3X tablets
Indication,for what they are used
Availability,is salvia legal in maine?
Adverse_Effects,Does St. John's Wort cause nightmares?
Effectiveness,Can we use Apple Cider Vinegar on dry skin to remove pigmentation?
Effectiveness,is green tea bad for hairloss??? (10points)?
Interaction,Can I take Vicodin with Chammomile Tea?
Effectiveness,Can drinking wheatgrass boost oxygen or hemoglobin?
Adverse_Effects,Does taking ElderBerry syrup have any negative effects on people with Diabetes?
Adverse_Effects,Can you drink as much Green Tea as I want without any ill-effects?Are there ever any bad effects?
Effectiveness,Is Grape Juice an antioxidant?
Availability,"where can I find quercetin supplements in Melbourne, AUS?"
Background,what is maca or chasteberry
Availability,where to find it
Usage,"Is It Safe to use alot of Iron "" Calcuim tablets?"
Safety,is it safe for a 17 year old boy to take ginseng for gingko daily?
Effectiveness,Does rogaine really work?
Effectiveness,Can we use apple cider vinegar as facial mask even for dry skin?
Interaction,can i take mdma with milk?
Interaction,can you take a 8mg suboxone then take an oxy 80 8 hours later?
Safety,Is it safe for women to use saw palmetto?
Adverse_Effects,Can Valerian make your eyes swell?
Usage,how long will phenoxymethyl penicillin pills stay in your system?
Interaction,"How does zinc, copper and iron interact with each other and with other nutrients.?"
Effectiveness,does milk thistle work?
Interaction,will it be ok to take valerian tablet with citalopram?
Usage,What is the proper Vitamin E (mixed tocopherol) dosage for natural food preservation?
Effectiveness,does salt/lemon/honey in warm water work for a sore throat?
Effectiveness,Does drinking olive oil and lemon help with gall stones?
Interaction,Is it safe to take tylenol after drinking chrysanthemum tea?
Indication,what is grape seed good for?
Effectiveness,can raw ginger be swallowed to help w/ nausea ?
Effectiveness,Does onion juice or aloe vera actually work in improving alopecia areata?
Availability,Can anybody tell me how or where I can get Luthium and Nettle Juice
Availability,Where to get cheap reishi or similar mushrooms?
Safety,Is flax seed just as dangerous as soy?
Usage,Can homeopathic belladonna be used continually?
Background,Is Cornswell Apple Cider Vinegar organic?
Effectiveness,Does black walnut hulls over the counter medicine really kill parasites if taken internally?
Safety,Is nutribiotic grapefruit seed extract safe?
Availability,Where can I buy grapefruit seed extract?
Effectiveness,does drinking cherry juice help relieve gout?
Effectiveness,Would Mastic Gum pills be useful in treating Candida ?
Availability,Where can I buy Selenium pills?
Interaction,Does taking Prilosec for my hiatal hernia cancel the health benefits of taking Cayenne pepper capsules?
Availability,Where can you buy Salvia divinorum in Canada?
Availability,where can I get Cold Pressed Castor oil??
Indication,Chamomile tea benefits?
Availability,WhERE CAN I FIND MACA ROOT POWDER OR CAPSULES IN THE UK?
Background,what is ginkgo biloba?
Effectiveness,Does Niacin really work?
Safety,is it safe to use tea tree cream in nose?
Usage,How much oil of oregano is a safe dosage?
Effectiveness,dose yogurt cure yeast infection?
Effectiveness,Do green tea pills help lose weight?
Availability,Where Can You Buy Legal herbs or salvia in columbus oh?
Safety,"Is it safe to take Passionflower, St. John's Wort, and Melatonin?"
Effectiveness,Does Bilberry extract and Omega-3 actually improve eyesight?
Safety,is it safe to take melatonin?
Safety,Is Ginkgo Biloba herb is safe for teenagers?What is the recommended dose?
Availability,Where can I find wheatgrass shots?
Interaction,CAN I USE DONG QUAI AND MACA AT THE SAME TIME?
Effectiveness,Does cranberry juice really work to get rid of a bladder infection?
Background,What is Calea Zacatechichi?
Background,Does Apple Cider Vinegar (Raw/unfiltered) Contain probiotics?
Safety,Is Resveratrol safe for all ages?
Background,Do B12 vitamin make you smarter?
Availability,Where can I find Burdock Root supplements in Mumbai?
Effectiveness,Is taking Catalase supplements effective in reversing gray hair?
Effectiveness,Does green tea help with waking up?
Indication,Can I use Apple Cider Vinegar to remove a flat mole?
Interaction,Is taking l-arginine and l-carnitine together safe?
Indication,All Benefits of Vitamin A?
Adverse_Effects,Senna leaf side effects?
Adverse_Effects,chamomile oil and side effects?
Interaction,Is it safe to biotin 5000 mcg and 10000 mcg at the same time?
Background,What is vitamine b12?
Usage,Recommended daily value of Vitamin C?
Usage,Is 50000 IU Vitamin Capsule OK to have daily.?
Interaction,Can I take valium and cialis together?
Safety,Are taking daily magnesium and potassium pills safe?
Interaction,can you use korean ginseng and ginkgo biloba supplements at the same time?
Effectiveness,Do probiotics help with constipatin?
Effectiveness,Can taking Glucosamine MsM supplement affect my colitis? IBD?
Interaction,"Is it safe to take a vitamin b supplement, a vitamin d supplement, and a multivitamin at the same time?"
Adverse_Effects,Are there saw palmetto topical solution side effects?
