Question Type,Question
Availability,Where in India can I get peppermint oil which is supposed to treat IBS (irritable bowel syndrome?
Safety,Is it okay to take 2 Vitamin B6 in one day?
Interaction,"Take resveratrol, vitamin E "" vitamin C together?"
Usage,Does Biotin have to be taken with food ?
Availability,Where can I buy kratom Extract capsules and other supplements?
Effectiveness,"Niacin, Is it actually good to take?"
Effectiveness,topical magnesium chloride to stop aching joints?
Background,What foods are high in Vitamin D?
Usage,How long will it take for St. John Worts to take affect?
Background,Is oregano oil a neurotoxin?
Adverse_Effects,does vitamin C cause acidity in the stomache?
Availability,Where would I find a 500 strain probiotic?
Effectiveness,Does garlic oil work for ear infections?
Usage,safe dosage of gingseng?
Effectiveness,will black elderberry extract boost my immune system after a heavy bout of the flu?
Background,How does orange juice help to soothe a sore throat?
Adverse_Effects,Does apple cider vinegar give you diarrhea?
Indication,Does valarian make you calm and relaxed?
Interaction,Is it safe to use Papi Multivitamins and Brewers Yeast at the same time?
Availability,Where can I purchase HCG Online?
Interaction,Safe to take Cialis while on Accutane?
Adverse_Effects,Is it possible to be allergic to MDMA?
Availability,does calciumm citrate come in smaller pills or powdered version?the pills out there are too large to swallow?
Interaction,Does Lemon/Lime Negate the effect of Anti-Biotics?
Usage,Do you have to take passion flower oil before meals?
Adverse_Effects,Does Zinc and Magnesium make one sleepy?
Indication,benefits
Adverse_Effects,side effects
Background,Does it contain antioxidants/vitamins?
Availability,Where can I buy
Usage,how do I take it?
Indication,My mum gave me belladonna for strep throat...?
Adverse_Effects,Risks of 'overdosing' on Vitamin D Gummy Bears?
Background,What does Vitamin B12 actually do?
Adverse_Effects,and what are the side effects?
Interaction,Ginseng + Guarana with Magnesium supplement?
Indication,Valerian Root For Sleep?
Safety,Can you take too much Vitamin C?
Interaction,Can I take a 750mg GABA supplement and a multi vitamin at the same time
Safety,"Is it safe to take garlic, ginkgo biloba and chlorella?"
Interaction,grapfruit can interfere with some medications?
Effectiveness,Does Hibiscus Tea/Supplements Really Lower Blood Pressure?
Effectiveness,Does fish oil help epilepsy?
Usage,is it safe to take a Vitamin C supplement and a daily multivitamin everyday?
Availability,Were do they sell valerian root powder at??
Effectiveness,Is Omega 3 Fish Oil good for Anxiety and Depression?
Interaction,I am currently taking ginkgo biloba tablets..1 a day for my bad memory. Is it ok to drink alcohol alongside?
Usage,Bee Pollen how much take?
Usage,Vitamin B6 dosage for supplement pill.?
Interaction,Can i take a multivitamin with 3000mcg Biotin?
Adverse_Effects,Does drinking parsley cause natural miscarriage?
Availability,Where can I buy a Uranium supplement?
Interaction,Can raspberry keytones and Wellbutrin be taken together?
Interaction,Can i take whey protein while on prednisone?
Availability,Where can I buy fenugreek powder?
Effectiveness,Will fish oil pills omega3 make me gain weight?
Indication,benefits of fenugreek capsules?
Indication,anyone know anything about taking extra vitamin d's and how it helps?
Interaction,Does Tahitian Noni Juice interact with Azithromycin?
Adverse_Effects,Side effects from taking melatonin?
Availability,"Where can i buy KAVA , PASSION FLOWER "" VALERIAN ROOT all together?"
Interaction,"Mixing suplements Ginko Biloba, L-tyrosene, L-arginine, Ginseng?"
Usage,How much Kratom should I take?
Effectiveness,Can arnica treat mono?
Usage,Is 6000 IU of vitamin D3 supplements per day for a month too much?
Effectiveness,Does cranberry juice help yeast infections?
Background,What foods are high in Vitamin E?
Usage,Do I need to take magnesium with my Calcium/VitD supplement?
Background,vata dosha means increase of air element in the body?.?
Effectiveness,Will taking DHA supplements make my skin darker?
Usage,how do you consume 700 mcg of vitamin A daily?
Safety,Is it safe to take 730mg of iron supplements daily?
Interaction,Is it safe to take biotin and minocycline at the same time?
Effectiveness,Does Valerian root really make you calm?
Usage,Is it safe to double dose with Vitamin D? Packet says take 1capsule but it's to help my psoriasis..?
Adverse_Effects,Is there any side effects of using copper t?
Interaction,Im taking herbs
Availability,Where can I buy Chaga Mushrooms in New Zealand?
Interaction,can you take chlorella supplements with rhodiola supplements?
Availability,Where can i get the best kratom extract?
Effectiveness,is Garcinia Cambogia Extract a scam or does it actually work?
Usage,What dosage of Evening Primrose Oil to take?
Effectiveness,Have you tried Garcinia Cambogia
Availability,Would ginseng pills be available at ANY pharmacy?
Usage,Magnesium supplement usage question for anxiety?
Availability,Is the Herb Kratom banned in the United States?
Safety,can i take probiotics for Diarrhoea? is it safe?
Indication,What are benefits of peppermint water ?
Background,"whats the difference between prebiotics "" digestive enzymes?"
Effectiveness,Will green tea with lemon help with sore throats?
Background,What is the difference between Nux Vomica and Ars Alb in Homeopathy?
Indication,What is Salvia Used for?
Background,What is Salvia Divinorum?
Background,Is Ginseng the same as menthol?
Availability,Does Omega-3 contain medicine available in kolkata?
Effectiveness,Does Raspberry Ketones work?
Effectiveness,Is iodine helpful for your thyroid?
Usage,Can I crush up St John's Wort tablets and take them?
Usage,How to take iron pills?
Usage,How much vitamin d should I take if I don't go outside at all?
Effectiveness,Is it true that gratagrus herbs lowers high cholestoral?
Effectiveness,Is lemon juice really help to dissolve kidney stones?
Effectiveness,does niacin really increase height?
Usage,Can i take 2 glycerin suppository in a day?
Effectiveness,Is gluocosamine HCI with boswellia capsule (Amway nutralite product) help arthrities patient ?
Usage,Do you use Witch Hazel for anything ?
Safety,"Zinc direct Oral Intake, is it Safe??"
Interaction,Can i use Ashwagandha with Fertisure M to treat fertility?
Usage,Is it safe to take two Vitamin C tablets every 18 hours for therapeutic reasons?
Effectiveness,"What tea will make me sleep(kava, passionflower, or chamomile)?"
Safety,"is it ok to take all of these vitamin supplements? omega 3, vitamin d and evening primrose?"
Effectiveness,will magnesium and vit b6 help?
Safety,Is it safe
Effectiveness,and effective to put two drops of basil juice in ears ?
Effectiveness,Saw palmetto for fatter legs?
Effectiveness,St. John's wort for low mood?
Effectiveness,body growth from maca and fenugreek?
Adverse_Effects,melatonin to fall asleep fast?
Usage,"Melatonin at night, 5htp during the day?"
Indication,Is Aloe Vera beneficial
Adverse_Effects,or harmful to hypothyroid patient?
Interaction,Can i take vitamin E and biotine supplements together
Effectiveness,do cranberry pills work?
Effectiveness,Ginkgo Biloba decreasing libido?
Usage,How many vitamin C tablets a day to build muscles ?
Effectiveness,Can zinc supplements help produce more testosterone?
Background,does Nuihuang jiedu pian herbal medicine look yellowish in colour?
Effectiveness,Garcinia Cambogia - Is it any good?
Interaction,Does ashwaghanda badly interact with hops strobile herb?
Availability,Where to buy natural Raspberry Ketone?
Adverse_Effects,Is GHB (4-hydroxybutanoic acid) Addictive or Not?
Availability,Where can I get Calea Zacatechichi(Dream herb)?
Adverse_Effects,What are some side effects of morphine?
Effectiveness,Doeas peppermint really work for nauseous?
Effectiveness,Do CLA supplements and drinking oolong tea really help make you lean?
Adverse_Effects,"Have scoliosis, is it better to be on marijuana for chronic pain or on morphine for chronic pain?"
Adverse_Effects,"do multivitamin cause damage to liver ,kidney like steroid do.?"
Safety,Is it safe to take Arganlife supplements to help cure hair loss?
Effectiveness,Are Ventolin tablets good to build muscles ?
Background,"How does Vitamins, such as vitamin B-complex and Vitamin E help the heart?"
Effectiveness,Will melatonin help anxiety?
Effectiveness,Can Ashwagantha root increse the sexual stmina?
Effectiveness,will cranberry juice clean your colon?
Effectiveness,Do raspberry ketones really work?
Safety,Is tea tree oil safe?
Effectiveness,Does apple cider vinegar really work for gallbladder attack?
Interaction,"is it ok when i use vitamin a, c, e in the same time?"
Availability,Do gas stations still sell ephedrine?
Availability,Name me good Primrose Oil Capsules with include GLA ingredients available in India?
Usage,Is it safe to drink Virgin Coconut oil for 3 consecutive months?
Usage,When would be the best time to take vyvanse and not crash?
Availability,Does GNC sell ephedrine? Or ephedra/ma haung?
Availability,Where can i find Betaine Hcl supplements in UAE?
Effectiveness,can kalonji seeds cure irregular periods?
Background,whats it like to take vicodin?
Effectiveness,Does apple cider vinagar help tummy aches?!?
Effectiveness,Kudzu for alcohol withdrawal?
Usage,How much vitamin d3 is too much?
Adverse_Effects,Can echinacea give you heartburn/GERD?
Effectiveness,Does it work?
Adverse_Effects,Does gotu kola cause liver disease?
Background,What is Milk Thistle?
Indication,What is it used for
Indication,what is vitamin b6 good for?
Usage,Have I consumed too much ginkgo biloba? What is the required dosage?
Effectiveness,Do acai berries really work?
Interaction,Can I take Echinacea while on an immunosuppressant?
Effectiveness,Is it true that cinnamon can be used as a digestive aid? And what about peppermint?
Effectiveness,Does saw palmetto really promote beast growth
Background,What is Calea Zacatechichi?
Background,How does sea buckthorn juice taste like?
Usage,What is a common dose for Valerian tincture?
Interaction,Can I take black elderberry syrup while on Coumadin?
Usage,Is Valerian and melatonin safe to take every day?
Adverse_Effects,does acai berry cause headache?
Usage,Is 1000 IU of Vitamin D3 enough or too much for a 5'7 200 pound woman?
Interaction,"alternative medicine, does mint tea interfere with milk thistle tincture ? read;?"
Effectiveness,Does honey and lemon work for sore throat?
Adverse_Effects,Does taking ElderBerry syrup have any negative effects on people with Diabetes?
Indication,"Does anyone know anything about mangosteen, acai, noni, and goji fruits? What are the benefits of taking them?"
Effectiveness,Can garlic powder be used as a cure for some ailments?
Usage,What is the dosage for castor oil as a laxative?
Effectiveness,Does black walnut hulls over the counter medicine really kill parasites if taken internally?
Availability,Where can I buy grapefruit seed extract?
Effectiveness,does milk thistle work?
Interaction,"can probiotics, fish oils, and apple cider vineger be taken with prescriptions?"
Effectiveness,"is it common for the chinese herb, fo-ti root extract, to affect your dreams?"
Effectiveness,"are brain supplements like ginkgo, acetyl-l-carnitine, and PS effective in treating ADD?"
Effectiveness,Does Ginseng Work? Does it really provide noticeable health benefits?
Usage,Silymarin - how much should you take per day for a sluggish liver?
Usage,Is putting a drop of eucalyptus oil in your nostrils toxic for you?
Effectiveness,How effective is evening primrose oil in treating OCD?
Usage,Black Cohosh - Whats the Average Dosage?
Effectiveness,does ganoderma mushrooms really work ?
Adverse_Effects,does lavender essential oil cause a seizure?
Indication,What are the benifits of 5-HTP?
Effectiveness,"Would apple juice, epsom salt and olive oil flush help eliminate the stones that clogs in my bile duct?"
Availability,does walgreens sell syrup of ipecac?
Interaction,"Is it ok to take antiparasitic drugs, antifungal drugs, and probiotics at the same time?"
Interaction,"wWhat happens if you take melatonin, valerian and a third of a sleeping pill?"
Interaction,Can I take Valerian root and kava kava together?
Usage,How do I use blue/green algae?
Usage,how do you use wheatgrass powder?
Adverse_Effects,what are the side effects of st johns wort?
Interaction,Can you take hawthorn berries (an herbal supplement) with Ambien CR 12.5 mg?
Usage,How much Kanna or Kava Kava should I take
Usage,Can I stop taking glucosamine sulfate?
Effectiveness,is it true that bacopa monnieri can help me concentrate?
Effectiveness,can Valerian Root really help stress and anxiety?
Interaction,"Is it safe to take 5tp, vitamin D and Rhodiola rosea together?"
Interaction,"If im taking penicillin. should I avoid taking my whey protein "" creatine based supplements?"
Background,What is Forskolin is it an herb
Effectiveness,uva ursi cure for uti's?
Usage,can i simply chew ginseng root?
Safety,is argyreia nervosa (hawaiian baby woodrose) safe to consume?
Effectiveness,is hoodia a good product for suppressing appetite?
Usage,How long one can take Nux vomica 200 for irritable bowel syndrome?
Effectiveness,copper cure arthrities pain?
Usage,How long does ipecac last?
Safety,"Is it safe to take Acai Berry, Passionflower, St. John's Wort, and Melatonin?"
Adverse_Effects,could chlorella be bad for the kidneys?
Usage,how can I prepair aloe vera juice from the plant for heartburn?
Indication,Eucalyptus Oil - What is it used for?
Background,what is probiotics?
Indication,benefits
Adverse_Effects,concerns
Adverse_Effects,health risks associated with probiotic therapy?
Background,is kelp and seaweed the same thing?
Availability,where to buy khat in melbourne?
Safety,Is it good and safe to take potassium pills premenstrual for a week to prevent water retention?
Adverse_Effects,does vitamin b50 cause constipation?
Indication,does anyone know the health benefits to barley grass?
Effectiveness,"if i take the herb ""eyebright"" in a tea or capsule will my eyes eventually look brighter?"
Indication,what are the benefits of fenugreek?
Effectiveness,Is Sea Kelp an appetite suppressant?
Effectiveness,does anise tea or Pimpinella anisum help people sleep?
Interaction,Can I take 5-htp together with l-theanine?
Usage,How do you take fresh ginseng?
Interaction,Can I take Cascara Sagrada with metphormin?
Usage,How to use/ prepare Gotu Kola for anxiety?
Interaction,is oral chelation with edta safe?
Availability,where to buy yohimbine/yohimbe in melbourne?
Safety,Is taking propolis safe? (especially same one after 2 years)?
Adverse_Effects,is eating onion and garlic together bad for the bowels?
Indication,are there any proven benefits to taking shark cartilage?
Safety,is royal jelly actually safe?
Availability,where can buy epsom salt magnesium sulfate in malaysia?
Availability,is graviola / annona muricata / soursop / guyabano (these are the names of the same plant) available in india?
Safety,Is gingko (ginkgo) biloba safe to take?
Background,What is Kratom.................?
Safety,"taking celery "" juniper capsules every day bad?"
Effectiveness,Does resveratrol increase testosterone?
Interaction,Can I drink alcohol while taking avena sativa?
Adverse_Effects,Can taking Rhodiola Rosea and 5HTP cause serotonin syndrome and how quicky would I know?
Background,are these herbs stimulants or depressants (as in how mint is stimulating and chamomile settles you down)?
Indication,What is Oil of Evening Primrose good for.?
Interaction,Is it safe to take L-Theanine while on Trileptal and Abilify?
Interaction,If I'm allergic to hemp can I use salvia?
Interaction,Can you use Bacopa (Brahmi) and Valerian Root (Tagara) herbs together?
Indication,what it does
Effectiveness,do you think it is effective
Usage,how they do it
Usage,"Geranium""Jojoba oil for wrinkles/cellulite, how long would it take to show results?"
Safety,Im 12 and i want to know if biotin vitamins are safe?
Adverse_Effects,"Has anyone in here ever used Mugwort, and had unpleasant side effects from it?"
Interaction,Is it ok to take Acai Berry along with Protein supplement?
Usage,Can someone overdose on Vitamin C tablets?
Usage,how much wintergreen oil is toxic?
Usage,Is fish oil in liquid form more effective than in capsule form?
Effectiveness,5HTP or L-tryptophan?
Usage,Best way to take cayenne and ginseng?
Effectiveness,Can Bepanthen help yeast infections?
Effectiveness,Does coconut oil lower your blood pressure?
Safety,Are shrooms generally safe?
Effectiveness,Can chamomile tea help me relax?
Availability,Does anybody know where I can get poppy pods?
Adverse_Effects,"If I take 5-HTP pills daily, will my body stop producing serotonin naturally?"
Background,what is better for you EPA OR DHA IN FISH OIL OMEGA 3?
Interaction,Can u drink while taking AcaiBerry?
Usage,How much fish oil a day?
Availability,Where can I buy flaxseed in London?
Availability,where can i get ginko biloba in england?
Effectiveness,"Do medicinal mushrooms have detoxification "" antioxidant properties great enough to measure clinically?"
Availability,"Where can I purchase magnesium glycinate, magnesium malate and kelp tablets with no other ingredients?"
Effectiveness,Would sam-e medicine help?
Availability,Where could I buy cranberry pills?
Availability,is Dextroamphetamine an over the counter medicine?
Effectiveness,Does Aloe Vera work for hair regrowth?
Adverse_Effects,what are the side effects of using silver?
Usage,glucosamine sulfate and omega 3 dose?
Safety,Is Vitamin E Safe Or Not !?
Availability,where can i find vitamin c powder? IN UK :) xx?
Usage,how many Evening Primrose Oil capsules should i take?
Availability,where can i buy lycopene capsules in india?
Effectiveness,is goji juice good for hepatitis?
Availability,where can i buy curcumin capsules in india?
Adverse_Effects,Would lacing my food with Ipecac still make me vomit?
Interaction,Can I take St.John's wort with Ginkgo Biloba together? Any negative effects of such mix?
Safety,Why is Aniseed Oil unsafe for use in Aromatherapy?
Usage,what is the time taken by aloe vera gel to show its effects and when can i come to know its effects?
Effectiveness,Does Ginkgo Biloba cure vitreous hemorrhages?
Indication,What are the health benefits of the herb Cat's Claw?
Interaction,Is it safe to take Chasteberry with Metformin?
Usage,How long should I take milk thistle for?
Effectiveness,Could Ginkgo biloba help you study?
Interaction,Can I drink alcohol while taking L-tryptophan?
Usage,how much aloe vera juice should i drink?
Background,What is Cascara Sagrada?
Interaction,"Can you take Holy Basil, Ashawagandha, Curcumin and Passion Flower together?"
Availability,Where can I get some Mugwort?
Usage,What do i combine with 5HTP to make it work?
Background,Is vitamin B6 the same as vitamin B7
Usage,"How to take \""Horse Chestnut\"" alternative medicine?"
Indication,What do evening primrose pills do?
Interaction,"Is it okay to take 5-htp "" omega 3 "" ginkgo biloba together at the same time?"
Interaction,Can you take Quercetin with Adderall?
Safety,Is it safe to take 50mg of American Ginseng extract for the long term (2+ years)?
Interaction,Can I take sea kelp tablets and Vitamin B Biotin tablets.... Is it safe?
Interaction,is it safe to take kratom while on lexapro?
Adverse_Effects,Has anyone experienced kidney pain from taking diatomaceous earth?
Usage,Could I be taking too many Kelp pills?
Background,What are the fundamental differences between Niacin and Niacinamide?
Indication,What are the benefits of seaweed?
Effectiveness,is HONEY a good treatment for acne ?
Effectiveness,does forskolin resensitize dopamine receptors?
Indication,What are the benefits of Omega-3 EPA and DHA ?
Indication,what are estrogen shots used for?
Adverse_Effects,Omega 3 Fish Oil capsule side effects?
Usage,what is a safe dose of dha vitamin supplement?
Effectiveness,Does Avena Sativa mother tincture work?
Interaction,Does anyone know is it safe to take siberian ginseng with sodium valproate?
Interaction,"Is It Safe To Take Valium, Rhodiola Rosea And Valerian Root Together ?"
Effectiveness,Ginseng and Ginkgo Biloba for Anxiety.?
Interaction,Is it ok to take Kudzu with Milk Thistle?
Interaction,"Does Grapefruit Juice (a 1/2 C a day) effect Hydrocodone, Ranadine, Salsalate,Vitamin D or Klonopin ?"
Interaction,Can you take Rhodiola with YAZ Birthcontrol?
Indication,does anyone know astaxanthin benefits?
Interaction,is it safe to use coleus forskohlii with zoloft?
Effectiveness,Is st. john's wort or 5htp better for depression?
Safety,is yohimbe safe to use?
Indication,what is garcinia cambogia good for?
Indication,what is garcinia cambogia good for?
Background,is phenibut and xanax at all alike?
Indication,What are probiotics used for?
Interaction,I'm wondering if kratom tea will effect my bipolar meds.?
Indication,benefits of kelp supplements?
Effectiveness,Do acai berries really help one to lose weight fast?
Safety,is quercetin safe to take long term?
Safety,is quercetin safe to take long term?
Effectiveness,Is saw palmeto really good for prostate?
Effectiveness,Ipecac Syrup to induce vomiting?
Safety,Is it safe to take omega 3 fish oil capsules and folic acid?
Background,Is vitamin E a natural preservative?
Background,how much is 5000 IU of vitamin D-3?
Background,Does sesame oil really provide sun protection
Adverse_Effects,""" is it okay to use on the face?"
Usage,Should I take vitamin c twice a day?
Background,"I need to take 5,000 IU of Vitamin D3 but the bottle says 200 MG. How many MG's are in IU's?"
Adverse_Effects,Can you drink castor oil?
Interaction,would it be okay to take both resveratrol and ta65?
Safety,Will Ipecac kill me if i take a small dose once?
Interaction,Can you take Niacinamide and 5htp Together?
Indication,My friend brought me a combination of belladonna and arnica. What are its uses?
Interaction,Is it safe to mix these herbs? Gingko Biloba / Ginseng / Milk Thistle and Co Q10?
Usage,What do to about the dosage of homeopathic Belladonna? Please Answer! Emergency!?
Interaction,Is it safe to take Milk Thistle with Lovaza (4GM per day)?
Interaction,Can I take vitamin c along with vitamin b12?
Usage,When is the best time to take your vitamin E supplement?
Effectiveness,does L- theanine really work?
Interaction,Can I take oregeno oil with grapefruit seed extract? (For a cold)?
Interaction,Grated apple and japanese radish with pure honey are best for sore throat?
Availability,what is the best product containing EPA and DHA available in India?
Effectiveness,does ginseng really work and can u stay up all night on it?
Usage,How do i injest propolis correctly? Eat it or chew it?....?
Indication,"Which is the better supplement, Wheatgrass or Barleygrass?"
Background,How exactly does vitamin C helps our body to fight against cold?
Adverse_Effects,I feel so weak after drinking Valerian root for my anxiety?
Interaction,What is the best combination
Usage,"and what is the best way to cycle L-Theanine, L-Tyrosine, and 5-HTP?"
Adverse_Effects,Can ginseng or the drink fuze make heart race please read below?
Usage,How much is the right amount of probiotics?
Interaction,Can u use Black Cohosh with Maca?
Effectiveness,Is milk thistle good for the liver?
Effectiveness,Can Myopia Be Cured With Enough Vitamin A?
Usage,Do I leave on apple cider vinegar when using as toner?
Indication,What do Acidophilus pills do to you?
Interaction,For people with rheumatoid arthritis have you ever used Bromelain with Quercetin ?
Background,"Are Creatine 189, Tribulus Terrestris Extract or Fenugreek Seed extract banned by the NCAA?"
Usage,How much red clover tea do I need to drink to improve my fertility?
Indication,Benefits of honey and cinammon?
Indication,Favorite uses for grapefruit seed extract?
Safety,Is it safe to consume glycerin (a.k.a. glycerol) as part of a supplement stack?
Interaction,Can I take Omega 3 Fish Oil and Flaxseed oil at the same time?
Effectiveness,does resveratrol really work?
Effectiveness,Can milk thistle help with liver failure?
Adverse_Effects,What are the possible effects of kratom extract?
Safety,Can you take 5htp and Sam-E?
Background,Is it true that Curcumin cures cancer?
Interaction,Can I take Lomotil and Topamax together safely?
Safety,Is Pueraria Mirifica safe?
Interaction,Is it ok to take a centrum multivitamin and a 500 mg vitamin c tablet in the same day?
Background,Is vinegar and honey a good source of potassium?
Background,Which Milk Thistle Silymarin product helps liver function better?
Interaction,is it ok to take st john's wort and omega 3 supplements together?
Background,Is barley grass nutritious? What about wheat grass?
Effectiveness,Is Probiotics an indigestion remedy?
Usage,How many billion active cultures of probiotics should I take per day?
Interaction,"Can I mix Melatonin, Valerian, l Theanine, 5 HTP and Passion Flower?"
Interaction,"shall i take vitamin b'complex, folic acid and multivitamin capsule all together?"
Effectiveness,Does ginkgo biloba work?
Usage,Do I have to eat my Omega 3 supplements as instructed?
Background,which vitamin D is better D2 or D3?
Usage,How long does it take UVA Ursi to start working?
Effectiveness,Does smoking ipecac induce vomiting?
Effectiveness,can walnut oil be used for ear itch?
Background,Can you overdoes on L-Theanine?
Background,How long do 350mg of Silymarin Marianum stay in your system?
Background,whats vitamin B12 and/or B6 do?
Usage,Best time of day to take omega 3 supplement?
Effectiveness,should i use yogurt or probiotics to cure BV?
Effectiveness,Does omega-3 make me smarter?
Effectiveness,Does vitamin d3 help you sleep?
Effectiveness,which is better for blood pressure - coleus forskohili or hawthorn?
Indication,Benefits of Vitamin D tablets?
Background,What's the difference between Algal DHA and Fish Oil?
Effectiveness,do you really think hemp oil can cure cancer?
Usage,Can a 18 year old take bacopa monnieri supplement (memory enhancer)?
Usage,how much DL-Phenylalanine can you take?
Indication,Resveratrol Benefits Consumption?
Adverse_Effects,What symptoms can you get from taking Ginseng?
Background,Anyone know anything about the herbs Mugwort and Mullen Leaf?
Background,What is Milk Thistle?
Usage,What is it used for?
Adverse_Effects,Why would my eyes start burning after eating almonds?
Background,is 8150 iu of vitamin a in a hair vitamin high?
Background,Can calcium supplements only be absorbed with vitamin D?
Interaction,"Is it safe to take a supplement called \""theanine serene\"" with 5-htp?"
Indication,What are the benefits of Hemp lotion?
Indication,which probiotic is better
Usage,what time of day is the best time to take raspberry ketone supplements?
Effectiveness,"Vitamin B, so many of them which one is best?"
Effectiveness,Vitamin D makes you taller in a month
Adverse_Effects,Can vitamin D3 cause rapid heart rate? ?
Safety,Is Prednisone Safe... Best answer?
Indication,what is omega 3 fish oil good for?
Availability,Is there an OTC Vitamin K supplement?
Effectiveness,do raspberry ketones really work?
Usage,how many doses of 1000mg tablets of vitamin C is it safe to take per day?
Interaction,Why can't I eat a grapefruit while taking Amitriptyline?
Interaction,Can I take a B complex vitamin in addition to a Centrum Multi-Vitamin?
Effectiveness,Omega 3 for High blood pressure?
Interaction,Drinking grapefruit juice whist on fluoxetine (Prozac)?
Adverse_Effects,I overdosed on potassium bitartrate and now the tendons in my glutes hurt when I walk? How to cure myself?
Interaction,"melatonin, valerian, SJW, milk thistle interactions Help please!?"
Usage,Do I need to take my b12 vitamins at the same time every day?
Adverse_Effects,Do Probiotics cause constipation?
Effectiveness,Is Omega 3 also helpful in joints pain?
Usage,"How do I use Jojoba oil to treat acne(amount, application, etc)?"
Safety,Is Ephedra safe in a small amount?
Effectiveness,Can 5HTP supplements help relieve muscle tension?
Background,How long do the effects of inhaling clary sage essential oil last?
Usage,How much dha is safe to take?
Effectiveness,Will vinegar clean out my system?
Background,How does Vitamin C protect the immune system?
Background,What do fish oil pills do?
Effectiveness,Does vitamin c pills really prevent u from getting sick?
Background,What's in iron that make some people get nausea from it?
Usage,whats the dosage of ginkgo biloba for ADD treatment ?
Background,Bio oil vs tea tree oil?
Adverse_Effects,"Does Grapeseed, Almond, and Olive oil clog pores?"
Interaction,"Is it safe to take Kava with SAM-e, St. John's Wort and Ginkgo Biloba?"
Safety,"Forskolin, is it safe?"
Effectiveness,Do omega 3 pills help during study?? ?
Background,which ginseng is best for ADD ( concentration )?
Background,Why does Ephedra (a Stimulant) make me sleepy?
Background,i want to take creatine as a supplement is that the same as creatinine ?????
Usage,How many vitamin c pills should i take a day?
Usage,Should I take my multivitamin 3 times a day?
Background,Is it normal for 5HTP to make you feel sick and hot?
Usage,dosage of creatine use safe?
Interaction,Will ginger interact with my antibiotics?
Effectiveness,Can Apple Cider Vinegar really remove dandruff?
Interaction,"Saw Palmetto, Evening Primrose Oil together for acne?"
Interaction,can i take Ginko Biloba and Panax Ginseng?
Background,"Are Thistle "" Teasels the same?"
Indication,Can you suggest some uses of castor oil plant in alternate medicine?
Interaction,is it ok to take a cod liver oil supplement with a evening primrose oil supplement together?
Adverse_Effects,What would happen if you drank belladonna oil?
Effectiveness,Has anyone here tried Milk Thistle or Bentonite Clay capsules for Aspergers? Did they work for you in any way?
Background,What is the best form of Milk Thistle to take?
Effectiveness,Are Hawthorn herbal tablets good for circulation?
Adverse_Effects,Hibiscus tea negative side effects?
Adverse_Effects,Why do I get a strange side effect from taking Ginkgo Brahmi supplement?
Usage,How many Melatonin 10mg pills can you take?
Background,When on Ridalin how much weight do you loose?
Background,Can a DO prescribe prescriptions?
Adverse_Effects,chamomile oil and side effects?
Background,By how much does herbal supplementation of milk thistle increase estrogen?
Adverse_Effects,Are there saw palmetto topical solution side effects?
Background,What is Rhodiola Rosea?
Interaction,can i take paracetamol with grapefruit juice?
Effectiveness,Colloidal Silver for Pink Eye?
Effectiveness,will black elderberry extract boost my immune system after a heavy bout of the flu?
Interaction,"can you take amoxicillon, cordyceps, elderberry, zinc, calcium, and mushroom complex together?"
Interaction,can you use korean ginseng and ginkgo biloba supplements at the same time?
Usage,Are taking daily magnesium and potassium pills safe?
Background,Does Rooibos tea contain L-theanine?
Indication,How can I use eucalyptus essential oil?
Effectiveness,Is Omega 3 Fish Oil good for Anxiety and Depression?
Effectiveness,Does Hibiscus Tea/Supplements Really Lower Blood Pressure?
Adverse_Effects,Will fish oil pills omega3 make me gain weight?
Effectiveness,Does iodine/ kelp increase your appetite?
Usage,What dosage of Evening Primrose Oil to take?
Effectiveness,is Garcinia Cambogia Extract a scam or does it actually work?
Interaction,can you take chlorella supplements with rhodiola supplements?
Effectiveness,Do the zi xiu bee pollen diet pills work?
Effectiveness,Have you tried Garcinia Cambogia
Background,What is the difference between Nux Vomica and Ars Alb in Homeopathy?
Availability,Where i can buy niacinamide tablet in india?
Interaction,Can I take Evening Primrose Oil and Multivitamin together?
Adverse_Effects,"Does cholesterol, potassium, or fiber cause weight gain?"
Background,What is the diffierent between tee tree and eucalyptus essentail oils?
Effectiveness,Is chamomile the best remedy for insomnia?
Indication,health benifits of diatomaceous earth?
Interaction,Safe to take DMAE with ALCAR?
Indication,Is Aloe Vera beneficial
Adverse_Effects,or harmful to hypothyroid patient?
Effectiveness,Is gluocosamine HCI with boswellia capsule (Amway nutralite product) help arthrities patient ?
Effectiveness,Please tell me which is better medicine for Memory -:Centella Asiatica (Gotu Kola) and Bacopa Monnieri(Brahmi)?
Adverse_Effects,are there any dangerous side effects that anyone has experienced with the supplement milk thistle?
Effectiveness,Garcinia Cambogia - Is it any good?
Effectiveness,Do CLA supplements and drinking oolong tea really help make you lean
